Bijeljina,Tuzla,Doboj,Mostar,Bihac,date
93,158,94,57,156,2024-03-17
152,158,92,57,156,2024-03-17 00:00:00
152,158,94,57,156,2024-03-17 00:00:00
151,158,96,57,156,2024-03-17 00:00:00
151,158,93,57,156,2024-03-17 00:00:00
133,158,91,57,156,2024-03-17 00:00:00
133,158,93,57,156,2024-03-17 00:00:00
125,158,86,57,156,2024-03-17 00:00:00
23,42,48,42,55,2024-03-18 00:00:00
28,42,38,42,55,2024-03-18 00:00:00
23,42,63,21,46,2024-03-18 00:00:00
26,53,76,21,46,2024-03-18 00:00:00
99,152,109,25,95,2024-03-19 00:00:00
74,84,126,21,74,2024-03-20 00:00:00
101,160,152,25,50,2024-03-20 00:00:00
92,77,134,34,70,2024-03-21 00:00:00
178,113,118,59,63,2024-03-21 00:00:00
64,93,102,53,59,2024-03-22 00:00:00
163,227,150,30,57,2024-03-22 00:00:00
58,82,118,46,85,2024-03-23 00:00:00
31,79,35,25,42,2024-03-23 00:00:00
31,16,5,34,13,2024-03-24 00:00:00
87,58,112,38,89,2024-03-24 00:00:00
98,186,143,9,13,2024-03-25 00:00:00
61,63,90,17,9,2024-03-26 00:00:00
40,55,48,30,42,2024-03-26 00:00:00
