Tetovo,Kumanovo,Bitola,Gevgelija,Strumica,date
91,117,67,6,116,2024-03-17
91,124,67,6,116,2024-03-17 00:00:00
91,124,67,6,116,2024-03-17 00:00:00
91,133,67,6,116,2024-03-17 00:00:00
44,27,23,10,22,2024-03-18 00:00:00
44,27,23,10,22,2024-03-18 00:00:00
39,24,17,10,25,2024-03-18 00:00:00
39,25,17,10,25,2024-03-18 00:00:00
136,39,59,15,51,2024-03-19 00:00:00
53,35,59,12,32,2024-03-20 00:00:00
83,144,53,13,38,2024-03-20 00:00:00
97,66,99,6,54,2024-03-21 00:00:00
78,72,28,12,61,2024-03-21 00:00:00
78,65,71,8,77,2024-03-22 00:00:00
90,88,53,18,55,2024-03-22 00:00:00
133,55,79,4,69,2024-03-23 00:00:00
65,158,52,22,53,2024-03-23 00:00:00
76,68,63,3,79,2024-03-24 00:00:00
53,63,41,18,42,2024-03-24 00:00:00
64,96,148,13,48,2024-03-25 00:00:00
76,76,70,8,64,2024-03-26 00:00:00
95,66,34,5,157,2024-03-26 00:00:00
