Koper,Novo Mesto,Celje,Maribor,Nova Gorica,date
93,74,80,30,87,2024-03-17
93,74,80,30,87,2024-03-17 00:00:00
93,74,80,30,87,2024-03-17 00:00:00
93,74,80,30,87,2024-03-17 00:00:00
95,34,42,42,70,2024-03-18 00:00:00
95,34,42,42,70,2024-03-18 00:00:00
95,34,42,42,70,2024-03-18 00:00:00
95,34,42,50,68,2024-03-18 00:00:00
68,68,95,61,46,2024-03-19 00:00:00
21,65,76,59,53,2024-03-20 00:00:00
53,38,63,55,85,2024-03-20 00:00:00
61,59,93,50,72,2024-03-21 00:00:00
57,42,61,50,53,2024-03-21 00:00:00
13,25,42,30,55,2024-03-22 00:00:00
34,46,25,38,95,2024-03-22 00:00:00
21,34,70,50,46,2024-03-23 00:00:00
42,34,50,25,46,2024-03-23 00:00:00
9,9,9,13,13,2024-03-24 00:00:00
9,17,13,9,9,2024-03-24 00:00:00
25,17,25,17,25,2024-03-25 00:00:00
9,34,63,17,34,2024-03-26 00:00:00
17,68,21,25,34,2024-03-26 00:00:00
